type	name	time	size	kind
Parallel	Numba	0.3632137979984691	210000000	Parallel Numba
Parallel Fastmath	Numba	0.3086282290023519	210000000	Parallel Fastmath Numba
MP	Numba	2.1497267080012534	210000000	MP Numba
MP Fastmath	Numba	2.100676193000254	210000000	MP Fastmath Numba
Seq	Cython		210000000	Seq Cython
Seq Native	Cython	4.881106389999331	210000000	Seq Native Cython
MP	Cython		210000000	MP Cython
MP Native	Cython	0.6413531859980139	210000000	MP Native Cython
Seq	Python		220000000	Seq Python
MP	Python		220000000	MP Python
Seq	Numba	2.357840157997998	220000000	Seq Numba
Seq Fastmath	Numba	2.1655852399999276	220000000	Seq Fastmath Numba
Parallel	Numba	0.36779788000058034	220000000	Parallel Numba
Parallel Fastmath	Numba	0.3177105050017417	220000000	Parallel Fastmath Numba
MP	Numba	2.4133191350010748	220000000	MP Numba
MP Fastmath	Numba	2.102531889999227	220000000	MP Fastmath Numba
Seq	Cython		220000000	Seq Cython
Seq Native	Cython	5.047988063997764	220000000	Seq Native Cython
MP	Cython		220000000	MP Cython
MP Native	Cython	0.783966834002058	220000000	MP Native Cython
Seq	Python		230000000	Seq Python
MP	Python		230000000	MP Python
Seq	Numba	2.3600070620013867	230000000	Seq Numba
Seq Fastmath	Numba	2.2425964049980394	230000000	Seq Fastmath Numba
Parallel	Numba	0.39407100100288517	230000000	Parallel Numba
Parallel Fastmath	Numba	0.33750683999824105	230000000	Parallel Fastmath Numba
MP	Numba	2.474889674998849	230000000	MP Numba
MP Fastmath	Numba	2.208578364999994	230000000	MP Fastmath Numba
Seq	Cython		230000000	Seq Cython
Seq Native	Cython	5.316884169998957	230000000	Seq Native Cython
MP	Cython		230000000	MP Cython
MP Native	Cython	0.94824304100257	230000000	MP Native Cython
Seq	Python		240000000	Seq Python
MP	Python		240000000	MP Python
Seq	Numba	2.4900383399981365	240000000	Seq Numba
Seq Fastmath	Numba	2.319948555999872	240000000	Seq Fastmath Numba
Parallel	Numba	0.43464914400101406	240000000	Parallel Numba
Parallel Fastmath	Numba	0.35796212000059313	240000000	Parallel Fastmath Numba
MP	Numba	2.4739376220022677	240000000	MP Numba
MP Fastmath	Numba	2.3245899169996846	240000000	MP Fastmath Numba
Seq	Cython		240000000	Seq Cython
Seq Native	Cython	5.537179612998443	240000000	Seq Native Cython
MP	Cython		240000000	MP Cython
MP Native	Cython	0.7954033620007976	240000000	MP Native Cython
Seq	Python		250000000	Seq Python
MP	Python		250000000	MP Python
Seq	Numba	2.645821934002015	250000000	Seq Numba
Seq Fastmath	Numba	2.4042440640005225	250000000	Seq Fastmath Numba
Parallel	Numba	0.4302610220001952	250000000	Parallel Numba
Parallel Fastmath	Numba	0.3489565039999434	250000000	Parallel Fastmath Numba
MP	Numba	2.5619814659985423	250000000	MP Numba
MP Fastmath	Numba	2.4154320489979	250000000	MP Fastmath Numba
Seq	Cython		250000000	Seq Cython
Seq Native	Cython	5.849660407999181	250000000	Seq Native Cython
MP	Cython		250000000	MP Cython
MP Native	Cython	0.8790611990007164	250000000	MP Native Cython
Seq	Python		260000000	Seq Python
MP	Python		260000000	MP Python
Seq	Numba	2.6671170299996447	260000000	Seq Numba
Seq Fastmath	Numba	2.580849802998273	260000000	Seq Fastmath Numba
Parallel	Numba	0.42898185000012745	260000000	Parallel Numba
Parallel Fastmath	Numba	0.3733110309985932	260000000	Parallel Fastmath Numba
MP	Numba	2.664193915999931	260000000	MP Numba
MP Fastmath	Numba	2.5971566309999616	260000000	MP Fastmath Numba
Seq	Cython		260000000	Seq Cython
Seq Native	Cython	6.027166872001544	260000000	Seq Native Cython
MP	Cython		260000000	MP Cython
MP Native	Cython	1.0300162020030257	260000000	MP Native Cython
Seq	Python		270000000	Seq Python
MP	Python		270000000	MP Python
